age,tenure_months,monthly_charges,total_charges,support_tickets,contract_type_ordinal,payment_method_Credit card,payment_method_Electronic check,payment_method_Mailed check,internet_service_Fiber optic,internet_service_No,tech_support_No internet service,tech_support_Yes,churn
-0.42105263157894735,1.5833333333333333,-0.5913855107185879,1.0537186547612685,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.14035087719298245,-0.5,0.056199197880233566,-0.4523338501844624,-0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.49122807017543857,-0.5416666666666666,-0.23423254866372883,-0.510832486766829,-0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
-0.49122807017543857,0.4583333333333333,0.266572801264435,0.6646794631877241,0.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
-0.2807017543859649,0.2916666666666667,0.6628474950383414,0.5106132705982999,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.2807017543859649,2.3333333333333335,-0.2763431092054653,1.932834304657007,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.0,0.041666666666666664,-0.11777710080315823,-0.03569480831952093,-0.5,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
-1.1228070175438596,0.16666666666666666,-0.6407468911212226,-0.07699299577607871,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
-0.3508771929824561,-0.3333333333333333,-0.7986752826368123,-0.44115382558947763,-0.5,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
0.07017543859649122,1.0416666666666667,0.6128036172690312,1.3424263487141102,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.49122807017543857,-0.3333333333333333,2.3620450990280406,0.002673367908891622,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0.7719298245614035,0.375,-0.9067612830068777,0.04119659947601987,-0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0
1.6842105263157894,-0.25,0.3514374445882526,-0.1881195530128857,-0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
0.0,-0.5833333333333334,1.6482542393839386,-0.4534031973480191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-1.4035087719298245,-0.2916666666666667,0.5055639649087685,-0.16501096080842648,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.7017543859649122,2.3333333333333335,1.988133345028317,4.633973159386195,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1.0526315789473684,-0.5416666666666666,0.46947567619264485,-0.4571993797786452,-0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
-0.42105263157894735,-0.2916666666666667,1.3375339126364956,-0.05107736726728332,-0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
